epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1812.88,2.86611,2.84521,1.63657,0.0001,0.00038,5e-05,1e-05,3.40822,2.85494,1.48741,0.000322778,0.000322778,0.000322778
64,1841.41,2.86868,2.88015,1.64248,0.00084,6e-05,3e-05,1e-05,3.39766,2.82171,1.51025,0.000308412,0.000308412,0.000308412
65,1870.19,2.85499,2.84634,1.65155,0.00067,6e-05,3e-05,0,3.4609,2.95644,1.50179,0.000294239,0.000294239,0.000294239
66,1898.99,2.82409,2.85454,1.6451,3e-05,0.00013,2e-05,0,3.36476,2.84968,1.47572,0.000280275,0.000280275,0.000280275
67,1927.54,2.85608,2.86766,1.64324,0.00162,6e-05,4e-05,1e-05,3.43539,2.89997,1.51432,0.000266532,0.000266532,0.000266532
68,1956.36,2.86167,2.85645,1.63454,5e-05,0.00019,3e-05,1e-05,3.34087,2.83634,1.47084,0.000253024,0.000253024,0.000253024
69,1985.16,2.84881,2.83662,1.63917,0.00138,6e-05,3e-05,0,3.38635,2.8323,1.48685,0.000239766,0.000239766,0.000239766
70,2013.84,2.86534,2.84247,1.62555,0.00155,6e-05,4e-05,1e-05,3.4043,2.83411,1.48475,0.000226769,0.000226769,0.000226769
71,2042.61,2.85002,2.82049,1.61829,2e-05,6e-05,1e-05,0,3.41632,2.81085,1.49765,0.000214046,0.000214046,0.000214046
72,2071.42,2.81119,2.82571,1.62099,3e-05,0.00013,2e-05,0,3.41837,2.846,1.47374,0.000201611,0.000201611,0.000201611
73,2100.1,2.81493,2.79309,1.62957,2e-05,6e-05,1e-05,0,3.34793,2.74573,1.49039,0.000189475,0.000189475,0.000189475
74,2128.79,2.83388,2.80083,1.62843,0.00242,6e-05,5e-05,1e-05,3.35474,2.78273,1.46518,0.000177651,0.000177651,0.000177651
75,2157.74,2.81835,2.80701,1.63768,2e-05,6e-05,1e-05,0,3.35559,2.79714,1.4531,0.000166149,0.000166149,0.000166149
76,2186.74,2.8422,2.84001,1.63634,3e-05,0.00013,2e-05,0,3.36555,2.76776,1.49987,0.000154982,0.000154982,0.000154982
77,2215.24,2.79742,2.80945,1.63401,5e-05,0.00019,3e-05,0,3.37884,2.80776,1.45121,0.000144161,0.000144161,0.000144161
78,2243.98,2.78983,2.76475,1.59641,3e-05,0.00013,2e-05,0,3.34586,2.77927,1.45346,0.000133695,0.000133695,0.000133695
79,2272.91,2.81726,2.80602,1.61174,5e-05,0.00019,3e-05,0,3.38696,2.75275,1.50057,0.000123596,0.000123596,0.000123596
80,2301.62,2.78854,2.75987,1.61422,5e-05,0.00019,3e-05,0,3.34725,2.80517,1.45597,0.000113873,0.000113873,0.000113873
81,2330.39,2.80986,2.77179,1.60556,5e-05,0.00019,3e-05,0,3.36627,2.77553,1.46642,0.000104537,0.000104537,0.000104537
82,2359.42,2.817,2.77555,1.60823,3e-05,0.00013,2e-05,0,3.30894,2.75366,1.44132,9.55951e-05,9.55951e-05,9.55951e-05
83,2388.25,2.79618,2.77218,1.6158,3e-05,0.00013,2e-05,0,3.3399,2.77288,1.44983,8.70577e-05,8.70577e-05,8.70577e-05
