epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,705.213,0.66034,1.01806,0.54815,1.05669,0.85551,0.78199,0.85033,0.69304,0.86583,0.79142,0.85685,0.71376,0.87504,1.64371,0.7508,1.33459,0.0009803,0.0009803,0.0009803
105,712.067,0.64204,1.01749,0.52526,1.04915,0.82261,0.78747,0.85038,0.68052,0.82261,0.78747,0.85038,0.69439,0.98454,1.55828,1.05016,1.4648,0.0009704,0.0009704,0.0009704
106,719.365,0.64714,1.05205,0.54285,1.04641,0.86637,0.72642,0.83445,0.66756,0.86637,0.72642,0.83445,0.69616,1.01504,1.55177,0.90579,1.4791,0.0009605,0.0009605,0.0009605
107,725.749,0.63134,1.03294,0.53182,1.03597,0.91515,0.81399,0.89104,0.71837,0.91515,0.81399,0.89592,0.7427,0.81104,1.41096,0.99496,1.32654,0.0009506,0.0009506,0.0009506
108,732.236,0.62865,0.9726,0.51129,1.03881,0.86139,0.82075,0.87216,0.70146,0.86139,0.82075,0.87216,0.72418,0.90752,1.50176,0.85501,1.4529,0.0009407,0.0009407,0.0009407
109,738.741,0.63659,0.99256,0.53465,1.05214,0.85417,0.77358,0.85355,0.69543,0.86458,0.78302,0.85935,0.71248,0.80034,1.44287,1.05053,1.32591,0.0009308,0.0009308,0.0009308
110,745.338,0.61941,0.95767,0.50922,1.03761,0.88983,0.74528,0.84419,0.67808,0.88983,0.74528,0.84419,0.69457,0.96973,1.72107,0.97175,1.50121,0.0009209,0.0009209,0.0009209
111,752.497,0.65801,1.03301,0.55094,1.06038,0.8913,0.77358,0.85849,0.71355,0.92836,0.73585,0.85258,0.72944,0.91846,1.65354,0.83002,1.41318,0.000911,0.000911,0.000911
112,759.645,0.63279,0.98756,0.53035,1.03169,0.9095,0.75847,0.85689,0.71871,0.9095,0.75847,0.85689,0.71597,0.92569,1.72106,1.07558,1.39128,0.0009011,0.0009011,0.0009011
113,767.138,0.62935,1.01072,0.53227,1.04151,0.89583,0.81132,0.87552,0.72868,0.89583,0.81132,0.87552,0.74051,0.93055,1.64458,0.72755,1.40621,0.0008912,0.0008912,0.0008912
114,773.529,0.61807,0.96582,0.51609,1.03403,0.86275,0.83019,0.87809,0.72263,0.86275,0.83019,0.87809,0.73507,0.81492,1.58119,0.66317,1.333,0.0008813,0.0008813,0.0008813
115,779.987,0.62291,1.01028,0.52224,1.05205,0.87,0.82075,0.87312,0.72282,0.87,0.82075,0.87312,0.74232,0.83999,1.59294,0.66381,1.36249,0.0008714,0.0008714,0.0008714
116,786.359,0.63502,0.99179,0.53892,1.02969,0.85714,0.79245,0.86803,0.72017,0.86735,0.80189,0.87344,0.73607,0.85208,1.55966,0.75034,1.42287,0.0008615,0.0008615,0.0008615
117,794.153,0.60973,0.98207,0.49932,1.03029,0.8544,0.78302,0.84559,0.68863,0.8647,0.79245,0.85277,0.70555,0.90323,1.71338,0.72635,1.39734,0.0008516,0.0008516,0.0008516
118,800.543,0.61194,0.97073,0.49044,1.03576,0.8888,0.78302,0.87077,0.73229,0.8888,0.78302,0.87077,0.74907,0.83917,1.71878,0.66271,1.33599,0.0008417,0.0008417,0.0008417
119,806.94,0.61565,0.96094,0.50513,1.01485,0.86538,0.84906,0.89336,0.70836,0.875,0.85849,0.89939,0.72982,1.02926,2.00224,0.78231,1.57066,0.0008318,0.0008318,0.0008318
120,813.367,0.59858,0.96478,0.49887,1.01548,0.88487,0.79759,0.86692,0.695,0.89533,0.80703,0.87311,0.71642,0.98273,1.78865,0.81276,1.51005,0.0008219,0.0008219,0.0008219
121,819.874,0.60993,0.95744,0.50122,1.02853,0.91209,0.78302,0.86067,0.70208,0.91209,0.78302,0.86067,0.72996,0.88897,1.56165,0.70037,1.39655,0.000812,0.000812,0.000812
122,826.291,0.60616,0.98094,0.49927,1.03036,0.88542,0.80189,0.86764,0.70213,0.88542,0.80189,0.86764,0.7276,0.77932,1.52968,1.0331,1.28668,0.0008021,0.0008021,0.0008021
123,834.056,0.61201,0.97254,0.50426,1.02766,0.90426,0.80189,0.87055,0.71242,0.90426,0.80189,0.87055,0.73609,0.88099,2.13884,0.69298,1.41788,0.0007922,0.0007922,0.0007922
124,840.502,0.59883,0.96548,0.49795,1.02035,0.90113,0.80189,0.8675,0.7069,0.90113,0.80189,0.8675,0.72638,0.88072,1.65464,0.71574,1.40588,0.0007823,0.0007823,0.0007823
125,846.889,0.60303,0.94374,0.47773,1.01307,0.91981,0.75749,0.85578,0.70134,0.93124,0.7666,0.86344,0.72995,0.93094,1.83354,0.87762,1.46621,0.0007724,0.0007724,0.0007724
126,853.4,0.59375,0.95658,0.48873,1.01366,0.87755,0.81132,0.88075,0.74449,0.87755,0.81132,0.88075,0.75956,0.84218,1.68867,0.60788,1.3603,0.0007625,0.0007625,0.0007625
127,859.884,0.60397,0.97082,0.49836,1.01957,0.87762,0.81187,0.88002,0.7334,0.87762,0.81187,0.88002,0.74658,0.8774,1.67241,0.67535,1.41288,0.0007526,0.0007526,0.0007526
128,865.834,0.59231,0.95194,0.47594,1.02582,0.91133,0.83019,0.88792,0.73592,0.91133,0.83019,0.88792,0.74641,0.83562,1.74405,0.67434,1.40044,0.0007427,0.0007427,0.0007427
129,873.503,0.59446,0.94322,0.46868,1.02625,0.89011,0.76415,0.85005,0.71334,0.9011,0.77358,0.85624,0.71645,0.76894,1.60409,0.70953,1.24899,0.0007328,0.0007328,0.0007328
130,879.844,0.59624,0.92332,0.46422,1.02426,0.9472,0.76415,0.86278,0.71336,0.9472,0.76415,0.86278,0.73216,0.92578,1.68564,0.73941,1.41004,0.0007229,0.0007229,0.0007229
